gene;Column1;alleles_with_growth_0-0.062;alleles_with_growth_0.062-0.12;alleles_with_growth_0.12-0.25;alleles_with_growth_0.25-0.5;alleles_with_growth_0.5-2;alleles_with_growth_2-4;alleles_with_growth_4-8;alleles_with_growth_8-16;alleles_with_growth_16-inf;pvalue;FDR;MeanFC_DIU1;gene_name;defline;description;synonyms;predalgo_protein_localization;PFAM;Panther;KOG;KEGG_ec;KEGG_Orthology;Gene_Ontology_terms;best_arabidopsis_TAIR10_hit_name;best_arabidopsis_TAIR10_hit_symbol;best_arabidopsis_TAIR10_hit_defline
Cre01.g000033;CHLRE_01g000033v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g3.t1;M;-;-;-;-;-;-;-;-;-
Cre01.g000100;CHLRE_01g000100v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5.t1;O;-;-;-;-;-;-;-;-;-
Cre01.g000200;CHLRE_01g000200v5;0;0;0;0;5;1;0;0;0;0.418627062421;1;1;-;-;-;g7.t1;M;-;-;-;-;-;-;-;-;-
Cre01.g000250;CHLRE_01g000250v5;0;0;0;0;5;0;0;0;0;1;1;0;SNR1;-;-;g8.t1,Cre01.g000250.t1.1,SNR1;M;PF09335;PTHR12677;KOG3140;-;-;-;AT1G22850.1;-;SNARE associated Golgi protein family
Cre01.g000300;CHLRE_01g000300v5;0;0;0;0;6;0;0;0;0;1;1;0;GDP8;-;-;g9.t1,GDP8;M;PF00561;PTHR10992,PTHR10992:SF283;KOG4409;-;-;-;AT4G24160.1;-;alpha/beta-Hydrolases superfamily protein
Cre01.g000350;CHLRE_01g000350v5;0;0;0;0;2;0;0;0;0;1;1;0;OXR1;-;-;g10.t1,OXR1;O;PF00175;PTHR19370,PTHR19370:SF9;-;-;-;GO:0016491,GO:0055114;AT1G15140.1;-;FAD/NAD(P)-binding oxidoreductase
Cre01.g000400;CHLRE_01g000400v5;0;0;0;1;1;0;0;0;0;0.0498251317335;1;-1;ERR1;-;-;g11.t1,Cre01.g000400.t1.1,ERR1;SP;PF03407;PTHR10994:SF5,PTHR10994;-;-;-;GO:0005783;AT2G35610.1;XEG113;xyloglucanase 113
Cre01.g000450;CHLRE_01g000450v5;0;0;0;0;3;0;0;0;0;1;1;0;ERR2;-;-;g12.t1,Cre01.g000450.t1.1,ERR2;O;PF03407;PTHR10994:SF5,PTHR10994;-;-;-;GO:0005783;AT2G35610.1;XEG113;xyloglucanase 113
Cre01.g000500;CHLRE_01g000500v5;0;0;0;0;1;0;0;0;0;1;NA;0;ERR3;-;-;g13.t1,ERR3;O;PF03407;PTHR10994:SF5,PTHR10994;-;-;-;GO:0005783;AT2G35610.1;XEG113;xyloglucanase 113
Cre01.g000550;CHLRE_01g000550v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g14.t1,Cre01.g000550.t1.1;SP;PF03407;PTHR10994:SF5,PTHR10994;-;-;-;GO:0005783;AT2G35610.1;XEG113;xyloglucanase 113
Cre01.g000600;CHLRE_01g000600v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g15.t1,Cre01.g000600.t1.1;O;PF00400,PF08154;PTHR19848;KOG0271;-;-;-;AT5G52820.1;-;WD-40 repeat family protein / notchless protein, putative
Cre01.g000650;CHLRE_01g000650v5;0;0;0;0;4;0;0;0;0;1;1;0;AMX2;Copper amine oxidase;"Possibly peroxisomal; contains PTS1 canonical sequence";g16.t1,AMX2;O;PF01179,PF02728,PF02727;PTHR10638,PTHR10638:SF12;KOG1186;-;-;GO:0005507,GO:0008131,GO:0009308,GO:0048038,GO:0055114;AT2G42490.1;-;Copper amine oxidase family protein
Cre01.g000700;CHLRE_01g000700v5;0;0;0;0;1;0;0;0;0;1;NA;0;ZFR1;-;-;g17.t1,ZFR1;O;PF00097;PTHR10588:SF7,PTHR10588;KOG1493;-;-;-;AT3G03550.1;-;RING/U-box superfamily protein
Cre01.g000750;CHLRE_01g000750v5;0;0;0;1;4;0;0;0;0;0.143329201755;1;-1;ZFR2;-;-;g18.t1,ZFR2;SP;-;-;KOG3879;-;-;-;AT4G24204.3;-;RING/U-box superfamily protein
Cre01.g000800;CHLRE_01g000800v5;0;0;0;0;1;0;0;0;0;1;NA;0;CGL136;-;-;g19.t1,Cre01.g000800.t1.1, g19.t2;SP;-;-;-;-;-;-;AT1G78995.1;-;-
